_id.country,_id.pub_date,avg_body_sentiment_comparative,avg_body_wink_normalized_score
Ireland,2009-12-27,0.007700205338809,0.15411772316636
Australia,2009-12-27,0.011856368563686,0.069577804399373
France,2009-12-27,0.001961633440344,0.075123530760419
Italy,2009-12-27,0.016066000868433,0.097094191890861
New Zealand,2009-12-27,0.014304291287386,0.096375559434209
Panama,2009-12-27,0.01117955738079,0.101650852918312
Jersey,2009-12-27,0.0,0.028356104270952
Mali,2009-12-27,-0.005396256160508,-0.038753007243957
Indonesia,2009-12-27,-0.003362960529562,-0.003708111988855
United States,2009-12-27,0.003238753659942,0.222522026326173
Mexico,2009-12-27,0.0051604609682,0.028664434928101
Morocco,2009-12-27,-0.052631578947369,-2.0
Japan,2009-12-27,0.018064078941358,0.121968947565472
Jamaica,2009-12-27,0.014304291287386,0.096375559434209
India,2009-12-27,0.015403001637723,0.110491076870866
Germany,2009-12-27,0.020618556701031,0.152517657716959
China,2009-12-27,0.010313159545811,0.069948842524387
Brazil,2009-12-27,0.010309278350516,0.07625882885848
Philippines,2009-12-27,-0.025466893039049,-0.246630791300032
Kosovo,2009-12-27,0.0,-0.307860657018021
United Kingdom,2009-12-27,0.0,-0.307860657018021
Tristan de Cunha,2009-12-27,0.0,-0.307860657018021
Cuba,2009-12-27,0.014304291287386,0.096375559434209
USSR,2009-12-27,0.0,-0.307860657018021
Peru,2009-12-27,0.006956078546114,0.012921177295305
European Union,2009-12-27,0.0,-0.307860657018021
Chile,2009-12-27,0.015509601181684,0.091420237413986
Iraq,2009-12-27,-0.026858513189449,-0.174600206378774
"France, Metropolitan",2009-12-27,0.0,-0.307860657018021
Diego Garcia,2009-12-27,0.0,-0.307860657018021
Czech Republic,2009-12-27,0.0,0.0
"Ceuta, Mulilla",2009-12-27,0.0,-0.307860657018021
Canary Islands,2009-12-27,0.0,-0.307860657018021
Clipperton Island,2009-12-27,0.0,-0.307860657018021
Israel,2009-12-27,-0.028581898131184,-0.145521884249986
Ascension Island,2009-12-27,0.0,-0.307860657018021
Iraq,2009-12-28,-0.004926108374384,-0.056819667479225
Uzbekistan,2009-12-28,0.0,0.0
Greece,2009-12-28,-0.013422818791946,-0.189597167409143
New Zealand,2009-12-28,-0.003021148036254,-0.079198474335286
Italy,2009-12-28,-0.017447199265381,-0.326284747638319
Germany,2009-12-28,-0.017447199265381,-0.326284747638319
Mali,2009-12-28,0.007126781695424,0.060711793312119
United States,2009-12-28,0.002920119105134,0.01658464713229
Switzerland,2009-12-28,-0.006020642201835,-0.040180038951315
Jersey,2009-12-28,0.006651076868255,0.122033178917853
China,2009-12-28,0.008579599618684,0.268129616275898
South Africa,2009-12-28,0.008579599618684,0.268129616275898
Kosovo,2009-12-28,0.001173303018715,-0.056696740862536
Yemen,2009-12-28,0.0,0.0
Clipperton Island,2009-12-28,0.001173303018715,-0.056696740862536
"France, Metropolitan",2009-12-28,0.001173303018715,-0.056696740862536
Ascension Island,2009-12-28,0.001173303018715,-0.056696740862536
Diego Garcia,2009-12-28,0.001173303018715,-0.056696740862536
Japan,2009-12-28,0.01537111121263,0.133987784243961
Tristan de Cunha,2009-12-28,0.001173303018715,-0.056696740862536
"Ceuta, Mulilla",2009-12-28,0.001173303018715,-0.056696740862536
USSR,2009-12-28,0.001173303018715,-0.056696740862536
Pakistan,2009-12-28,0.0,0.0
Canary Islands,2009-12-28,0.001173303018715,-0.056696740862536
United Arab Emirates,2009-12-28,0.018801923917796,0.168623485748102
United Kingdom,2009-12-28,0.001173303018715,-0.056696740862536
European Union,2009-12-28,0.001173303018715,-0.056696740862536
India,2009-12-28,0.008579599618684,0.268129616275898
France,2009-12-28,0.006390640857981,0.064221723398393
France,2009-12-29,0.014317673378076,0.131160921903306
Argentina,2009-12-29,-0.022867194371152,-0.363162990171685
Jordan,2009-12-29,0.011237457402499,0.089086900000825
Sweden,2009-12-29,0.004922067268253,0.074181185171739
Germany,2009-12-29,0.009619870323164,0.102671053537522
Georgia,2009-12-29,-0.002749770852429,-0.073239021208578
Israel,2009-12-29,0.001900596227823,-0.01713525990776
Brazil,2009-12-29,-0.017806935332709,-0.415049032719009
Mauritania,2009-12-29,0.004803073967339,0.100503781525921
Iraq,2009-12-29,0.004803073967339,0.100503781525921
Afghanistan,2009-12-29,-0.007072002230604,-0.03854427259675
Ireland,2009-12-29,0.000561482313307,0.083878765367343
Nigeria,2009-12-29,0.009877120897469,0.100219606441877
Niger,2009-12-29,0.009877120897469,0.100219606441877
Pakistan,2009-12-29,-0.004123711340206,-0.084061473881034
China,2009-12-29,-0.004635933346301,-0.117223865521659
Dominica,2009-12-29,0.005893909626719,0.390016251015695
Kosovo,2009-12-29,-0.003174647878666,-0.1856404288506
United Kingdom,2009-12-29,-0.003026084297989,-0.18087305978597
Tristan de Cunha,2009-12-29,-0.003174647878666,-0.1856404288506
Canary Islands,2009-12-29,-0.003174647878666,-0.1856404288506
European Union,2009-12-29,-0.003174647878666,-0.1856404288506
"Ceuta, Mulilla",2009-12-29,-0.003174647878666,-0.1856404288506
Jersey,2009-12-29,0.010304165015411,0.260915951518721
United States,2009-12-29,0.004095060785297,0.088605654685151
Diego Garcia,2009-12-29,-0.003174647878666,-0.1856404288506
Turkey,2009-12-29,0.014144736842105,0.127133005336282
"France, Metropolitan",2009-12-29,-0.003174647878666,-0.1856404288506
Greece,2009-12-29,0.014144736842105,0.127133005336282
Lebanon,2009-12-29,0.014144736842105,0.127133005336282
Ascension Island,2009-12-29,-0.003174647878666,-0.1856404288506
